Order ID,Customer Name,Segment,Country,Region,Product Category,Product Name,Sales,Quantity,Discount,Profit,Order Date
ORD-1001,Jennifer Davis,Home Office,United States,East,Technology,Printer,372.43,4,0.22,81.63,2023-02-05
ORD-1002,Jennifer Wright,Home Office,United States,South,Furniture,Chair,199.12,2,0.15,11.28,2023-04-15
ORD-1003,Jeffrey Williams,Consumer,Australia,South,Furniture,Sofa,1082.69,10,0.26,259.52,2023-03-26
ORD-1004,Nathan Sampson,Consumer,Australia,South,Office Supplies,Pen,266.81,3,0.23,20.16,2023-11-01
ORD-1005,Rebecca Nguyen,Corporate,United States,Central,Office Supplies,Pen,308.76,1,0.16,90.55,2023-03-15
ORD-1006,Kristen Griffith DDS,Corporate,United States,Central,Technology,Printer,1021.36,10,0.02,219.91,2023-12-11
ORD-1007,Ashley Campbell,Corporate,United States,West,Furniture,Sofa,870.64,5,0.25,78.94,2023-11-26
ORD-1008,Wyatt Gutierrez,Corporate,Canada,Central,Technology,Laptop,2697.58,10,0.16,299.98,2023-04-24
ORD-1009,Misty Smith,Corporate,Germany,Central,Technology,Monitor,1954.26,6,0.23,209.62,2023-04-29
ORD-1010,Grace Butler,Consumer,United Kingdom,South,Office Supplies,Paper,1518.7,4,0.17,348.51,2023-11-14
ORD-1011,Michael Benson,Consumer,Australia,South,Office Supplies,Stapler,390.01,3,0.07,74.24,2023-07-12
ORD-1012,Doris Ray,Corporate,Australia,South,Technology,Phone,493.37,6,0.3,87.51,2023-11-07
ORD-1013,Troy Miller,Consumer,United States,East,Furniture,Table,1861.8,7,0.12,370.45,2023-01-25
ORD-1014,Kimberly Mendoza,Corporate,France,Central,Technology,Laptop,577.99,2,0.16,67.46,2023-01-28
ORD-1015,Edward Rivers,Home Office,United Kingdom,East,Office Supplies,Stapler,494.84,3,0.29,133.09,2023-12-14
ORD-1016,Matthew Guzman MD,Corporate,France,West,Technology,Laptop,1795.28,5,0.15,179.04,2023-03-15
ORD-1017,David Day,Corporate,Canada,East,Technology,Printer,112.55,8,0.28,30.35,2023-02-13
ORD-1018,Donald Hall,Corporate,Canada,East,Furniture,Chair,560.32,2,0.24,165.01,2023-06-06
